input_discount_factor,area_distance,input_compactness_mean,input_compactness_range,compactness_distance
0.1,3.16800784364,0.1,0.05,5.18848662165
0.3,7.51760771537,0.1,0.05,18.3923697902
0.5,5.37263803806,0.1,0.05,15.3880317698
0.7,5.76029347465,0.1,0.05,29.5836693199
0.9,4.0970300358,0.1,0.05,13.9033911374
0.1,3.39888253952,0.3,0.05,8.13425965674
0.3,7.74178579285,0.3,0.05,9.16154877609
0.5,5.70302223409,0.3,0.05,5.02873062346
0.7,5.93899514575,0.3,0.05,18.3446834765
0.9,4.10486521552,0.3,0.05,4.77474960716
0.1,3.42407761883,0.5,0.05,10.9732255705
0.3,7.81163464561,0.5,0.05,9.68629195546
0.5,5.7394193458,0.5,0.05,4.95804811318
0.7,5.85988682158,0.5,0.05,16.4510819865
0.9,4.10901877439,0.5,0.05,5.02117179897
0.1,3.52063344267,0.7,0.05,12.20073831
0.3,7.83019399,0.7,0.05,11.0719290458
0.5,5.7666973695,0.7,0.05,6.17153772043
0.7,5.8850939572,0.7,0.05,17.3073496234
0.9,4.24304398318,0.7,0.05,6.01191996398
0.1,3.51985567942,0.9,0.05,12.4508191062
0.3,7.74250773711,0.9,0.05,12.0002659804
0.5,5.74862110775,0.9,0.05,6.63858371409
0.7,5.95858063535,0.9,0.05,17.481908172
0.9,4.14860275894,0.9,0.05,6.8348061638
input_discount_factor,area_distance,input_compactness_mean,input_compactness_range,compactness_distance
input_discount_factor,area_distance,input_compactness_mean,input_compactness_range,compactness_distance
0.1,1.66734575705,0.1,0.05,16.940093471
0.3,1.45317585639,0.1,0.05,11.8116200638
0.5,1.43948112618,0.1,0.05,6.24578676508
0.7,2.21246349027,0.1,0.05,7.94348464896
0.9,2.33780739675,0.1,0.05,2.27563371403
0.1,1.71583176886,0.3,0.05,29.4262284459
0.3,1.37766175995,0.3,0.05,22.9842718611
0.5,1.3134670668,0.3,0.05,16.3297438015
0.7,2.12216723967,0.3,0.05,15.6739511017
0.9,2.27663613419,0.3,0.05,9.65398633736
0.1,1.70224755085,0.5,0.05,36.9473442473
0.3,1.34836789335,0.5,0.05,30.3444878225
0.5,1.29646208667,0.5,0.05,23.8949196747
0.7,2.13446335436,0.5,0.05,21.1774173932
0.9,2.25873468868,0.5,0.05,15.2261605295
0.1,1.72527808729,0.7,0.05,40.2258455559
0.3,1.2844241712,0.7,0.05,33.9341664201
0.5,1.32035458486,0.7,0.05,28.0045892632
0.7,2.13807582173,0.7,0.05,25.9100405358
0.9,2.24856721199,0.7,0.05,19.468467869
0.1,1.71247575215,0.9,0.05,42.4621438664
0.3,1.30626256059,0.9,0.05,35.7006800643
0.5,1.27983248114,0.9,0.05,30.498858259
0.7,2.17743408387,0.9,0.05,28.6961774858
0.9,2.19612421557,0.9,0.05,22.6130126463
