input_discount_factor,area_distance,input_compactness_mean,input_compactness_range,compactness_distance
0.1,4.47021684398,0.1,0.05,29.866730126
0.3,6.53065393629,0.1,0.05,52.3481891659
0.5,5.08838711101,0.1,0.05,41.7094502301
0.7,5.09562653319,0.1,0.05,36.9290250705
0.9,5.14549912846,0.1,0.05,33.3479893932
0.1,4.16043306313,0.3,0.05,39.9929950965
0.3,6.14732455151,0.3,0.05,62.7692318714
0.5,4.67002624104,0.3,0.05,51.2197518679
0.7,5.68566246774,0.3,0.05,71.0572768213
0.9,5.33097374604,0.3,0.05,75.4999940544
0.1,4.06722656131,0.5,0.05,47.05472523
0.3,5.81968463045,0.5,0.05,69.2782434114
0.5,4.41815116107,0.5,0.05,59.4288052556
0.7,4.77370178102,0.5,0.05,68.025981697
0.9,4.76753216484,0.5,0.05,70.0468339824
0.1,3.95738407718,0.7,0.05,51.0536454457
0.3,5.62162442209,0.7,0.05,72.3080372075
0.5,4.34894190374,0.7,0.05,66.4551201487
0.7,5.12466631394,0.7,0.05,86.1064463176
input_discount_factor,area_distance,input_compactness_mean,input_compactness_range,compactness_distance
0.1,4.47399173483,0.1,0.05,30.3303360047
0.3,6.61013101142,0.1,0.05,53.2628899525
0.5,4.97457036968,0.1,0.05,37.5081729976
0.7,5.42939783747,0.1,0.05,38.4561856606
0.9,5.42976618582,0.1,0.05,39.0252109012
0.1,4.16242820542,0.3,0.05,40.0894381627
0.3,6.14052754343,0.3,0.05,63.570607241
0.5,4.69295903028,0.3,0.05,52.0007037463
0.7,5.11195698614,0.3,0.05,65.3279259159
0.9,5.1249236032,0.3,0.05,71.1066491204
0.1,4.06677742994,0.5,0.05,46.4323876267
0.3,5.79564741928,0.5,0.05,69.1374227138
0.5,4.43340316572,0.5,0.05,60.8430609212
0.7,4.81345681094,0.5,0.05,66.6234184666
0.9,4.94356474392,0.5,0.05,75.6554531618
0.1,3.86915877212,0.7,0.05,49.8784742276
0.3,5.70504278308,0.7,0.05,72.3992093868
0.5,4.34393841764,0.7,0.05,65.4160844034
0.7,4.97049399415,0.7,0.05,80.8649970568
0.9,4.84245159524,0.7,0.05,84.6048631978
0.1,3.93202947005,0.9,0.05,53.61132019
0.3,5.65528894163,0.9,0.05,75.5225253689
0.5,4.27833553,0.9,0.05,70.9232898986
0.7,4.76116712306,0.9,0.05,77.1032356277
0.9,4.76339202543,0.9,0.05,83.9439384374
